,cubic,orthorhombic,trigonal,hexagonal,tetragonal,monoclinic,triclinic
-30,1.163908679,0.329138163,0.927768602,0.976069161,0.719418263,1.264706932,1.329689161
-29,1.163908679,0.329138163,0.927768602,0.976069161,0.719418263,1.264706932,1.329689161
-28,1.163908679,0.329138163,0.927768602,0.976069161,0.719418263,1.264706932,1.329689161
-27,1.163908679,0.329138163,0.927768602,0.976069161,0.719418263,1.264706932,1.329689161
-26,1.163908679,0.329138163,0.927768602,0.976069161,0.719418263,1.264706932,1.329689161
-25,1.163908679,0.329138163,0.927768602,0.976069161,0.719418263,1.264706932,1.329689161
-24,1.163908679,0.329138163,0.927768602,0.976069161,0.719418263,1.264706932,1.329689161
-23,1.163908679,0.329138163,0.927768602,0.976069161,0.719418263,1.264706932,1.329689161
-22,1.163908679,0.329138163,0.927768602,0.976069161,0.719418263,1.264706932,1.329689161
-21,1.163908679,0.329138163,0.927768602,0.976069161,0.719418263,1.264706932,1.329689161
-20,1.163908679,0.329138163,0.927768602,0.976069161,0.719418263,1.264706932,1.329689161
-19,1.163908679,0.329138163,0.927768602,0.976069161,0.719418263,1.264706932,1.329689161
-18,1.163908679,0.329138163,0.927768602,0.976069161,0.719418263,1.264706932,1.329689161
-17,1.163908679,0.329138163,0.927768602,0.976069161,0.719418263,1.264706932,1.329689161
-16,1.163908679,0.329138163,0.927768602,0.976069161,0.719418263,1.264706932,1.329689161
-15,1.163908679,0.329138163,0.927768602,0.976069161,0.719418263,1.264706932,1.329689161
-14,1.163908679,0.329138163,0.927768602,0.976069161,0.719418263,1.264706932,1.329689161
-13,1.163908679,0.329138163,0.927768602,0.976069161,0.719418263,1.264706932,1.329689161
-12,1.163908679,0.329138163,0.927768602,0.976069161,0.719418263,1.264706932,1.329689161
-11,1.163908679,0.329138163,0.927768602,0.976069161,0.719418263,1.264706932,1.329689161
-10,1.163908679,0.329138163,0.927768602,0.976069161,0.719418263,1.264706932,1.329689161
-9,1.163908679,0.329138163,0.927768602,0.976069161,0.719418263,1.264706932,1.329689161
-8,1.163908679,0.329138163,0.927768602,0.976069161,0.719418263,1.264706932,1.329689161
-7,1.163908679,0.329138163,0.927768602,0.976069161,0.719418263,1.264706932,1.329689161
-6,1.163908679,0.329138163,0.927768602,0.976069161,0.719418263,1.264706932,1.329689161
-5,1.163908679,0.329138163,0.927768602,0.976069161,0.719418263,1.264706932,1.329689161
-4,1.163908679,0.329138163,0.927768602,0.976069161,0.719418263,1.264706932,1.329689161
-3,1.163908679,0.329138163,0.927768602,0.976069161,0.719418263,1.264706932,1.329689161
-2,1.163908679,0.329138163,0.927768602,0.976069161,0.719418263,1.264706932,1.329689161
-1,1.163908679,0.329138163,0.927768602,0.976069161,0.719418263,1.264706932,1.329689161
0,1.163908679,0.329138163,0.927768602,0.976069161,0.719418263,1.264706932,1.329689161
1,1.163908679,0.711689382,0.927768602,0.976069161,0.719418263,1.264706932,1.329689161
2,1.163908679,0.675516958,0.927768602,0.976069161,0.719418263,1.264706932,1.329689161
3,1.163908679,0.734083138,0.927768602,0.976069161,0.719418263,1.264706932,1.329689161
4,1.163908679,0.734083138,0.927768602,0.976069161,0.889701907,1.264706932,1.329689161
5,1.163908679,0.755876851,0.927768602,0.976069161,0.889701907,1.264706932,1.329689161
6,1.163908679,0.783780343,0.927768602,0.976069161,0.889701907,1.264706932,1.329689161
7,1.163908679,0.831480459,0.927768602,0.976069161,0.889701907,1.264706932,1.329689161
8,1.163908679,0.932904593,0.927768602,0.976069161,0.889701907,1.264706932,1.329689161
9,1.163908679,0.932904593,0.927768602,0.976069161,0.96260562,1.264706932,1.329689161
10,1.163908679,0.932904593,1.005446006,0.976069161,0.96260562,1.264706932,1.329689161
11,1.163908679,0.904030164,1.005446006,0.976069161,0.96260562,1.264706932,1.329689161
12,1.163908679,0.950687479,1.005446006,0.976069161,0.96260562,1.264706932,1.329689161
13,1.163908679,1.093334086,1.005446006,0.976069161,0.96260562,1.264706932,1.329689161
14,1.163908679,1.093334086,1.005446006,0.976069161,0.974200482,1.264706932,1.329689161
15,1.163908679,1.093334086,1.005446006,0.976069161,0.98878342,1.264706932,1.329689161
16,1.163908679,1.093334086,1.005446006,0.99967821,0.98878342,1.264706932,1.329689161
17,1.163908679,1.093334086,1.005446006,0.99967821,0.999802548,1.264706932,1.329689161
18,1.163908679,1.093334086,1.005446006,1.014700588,0.999802548,1.264706932,1.329689161
19,1.163908679,1.093334086,1.005446006,1.014700588,1.007836563,1.264706932,1.329689161
20,1.163908679,1.093334086,1.066024854,1.014700588,1.007836563,1.264706932,1.329689161
21,1.163908679,1.093334086,1.066024854,1.014700588,1.017693822,1.264706932,1.329689161
22,1.163908679,1.093334086,1.066024854,1.040492706,1.017693822,1.264706932,1.329689161
23,1.163908679,1.093334086,1.066024854,1.040492706,1.026794396,1.264706932,1.329689161
24,1.163908679,1.093334086,1.066024854,1.040492706,1.036076129,1.264706932,1.329689161
25,1.163908679,1.093334086,1.066024854,1.040492706,1.044420574,1.264706932,1.329689161
26,1.163908679,1.093334086,1.066024854,1.160985918,1.044420574,1.264706932,1.329689161
27,1.163908679,1.093334086,1.066024854,1.160985918,1.054980968,1.264706932,1.329689161
28,1.163908679,1.093334086,1.066024854,1.160985918,1.070116279,1.264706932,1.329689161
29,1.163908679,1.093334086,1.140703324,1.160985918,1.070116279,1.264706932,1.329689161
30,1.163908679,1.093334086,1.140703324,1.160985918,1.078264943,1.264706932,1.329689161
31,1.163908679,1.093334086,1.140703324,1.160985918,1.085813126,1.264706932,1.329689161
32,1.163908679,1.093334086,1.140703324,1.160985918,1.096700931,1.264706932,1.329689161
33,1.163908679,1.156491501,1.140703324,1.160985918,1.096700931,1.264706932,1.329689161
34,1.163908679,1.156491501,1.140703324,1.160985918,1.104830629,1.264706932,1.329689161
35,1.163908679,1.156491501,1.140703324,1.160985918,1.111906879,1.264706932,1.329689161
36,1.163908679,1.156491501,1.140703324,1.160985918,1.121796552,1.264706932,1.329689161
37,1.163908679,1.156491501,1.140703324,1.160985918,1.128167573,1.264706932,1.329689161
38,1.163908679,1.156491501,1.140703324,1.160985918,1.134178414,1.264706932,1.329689161
39,1.163908679,1.156491501,1.140703324,1.160985918,1.140724039,1.264706932,1.329689161
40,1.163908679,1.156491501,1.153797971,1.160985918,1.140724039,1.264706932,1.329689161
41,1.163908679,1.156491501,1.153797971,1.160985918,1.146919408,1.264706932,1.329689161
42,1.163908679,1.156491501,1.153797971,1.160985918,1.15192639,1.264706932,1.329689161
43,1.163908679,1.156491501,1.153797971,1.160985918,1.162428451,1.264706932,1.329689161
44,1.163908679,1.156491501,1.164164081,1.160985918,1.162428451,1.264706932,1.329689161
45,1.163908679,1.290503707,1.164164081,1.160985918,1.162428451,1.264706932,1.329689161
46,1.163908679,1.290503707,1.164164081,1.152817851,1.162428451,1.264706932,1.329689161
47,1.163908679,1.290503707,1.164164081,1.162784677,1.162428451,1.264706932,1.329689161
48,1.163908679,1.290503707,1.164164081,1.162784677,1.172090157,1.264706932,1.329689161
49,1.163908679,1.290503707,1.164164081,1.174743741,1.172090157,1.264706932,1.329689161
50,1.174154025,1.290503707,1.164164081,1.174743741,1.172090157,1.264706932,1.329689161
51,1.174154025,1.290503707,1.176311753,1.174743741,1.172090157,1.264706932,1.329689161
52,1.174154025,1.290503707,1.176311753,1.174743741,1.178225809,1.264706932,1.329689161
53,1.180987218,1.290503707,1.176311753,1.174743741,1.178225809,1.264706932,1.329689161
54,1.180987218,1.290503707,1.176311753,1.192643315,1.178225809,1.264706932,1.329689161
55,1.180987218,1.290503707,1.187578148,1.192643315,1.178225809,1.264706932,1.329689161
56,1.180987218,1.290503707,1.187578148,1.192643315,1.185409559,1.264706932,1.329689161
57,1.187694689,1.290503707,1.187578148,1.192643315,1.185409559,1.264706932,1.329689161
58,1.187694689,1.290503707,1.187578148,1.192643315,1.19057571,1.264706932,1.329689161
59,1.187694689,1.290503707,1.197782875,1.192643315,1.19057571,1.264706932,1.329689161
60,1.194364316,1.290503707,1.197782875,1.192643315,1.19057571,1.264706932,1.329689161
61,1.194364316,1.290503707,1.197782875,1.192643315,1.19613443,1.264706932,1.329689161
62,1.194364316,1.290503707,1.197782875,1.210655011,1.19613443,1.264706932,1.329689161
63,1.201069175,1.290503707,1.197782875,1.210655011,1.19613443,1.264706932,1.329689161
64,1.201069175,1.290503707,1.197782875,1.210655011,1.201505703,1.264706932,1.329689161
65,1.201069175,1.290503707,1.206635724,1.210655011,1.201505703,1.264706932,1.329689161
66,1.207921555,1.290503707,1.206635724,1.210655011,1.201505703,1.264706932,1.329689161
67,1.207921555,1.290503707,1.206635724,1.210655011,1.213729363,1.264706932,1.329689161
68,1.207921555,1.290503707,1.216201121,1.210655011,1.213729363,1.264706932,1.329689161
69,1.214062148,1.290503707,1.216201121,1.210655011,1.213729363,1.264706932,1.329689161
70,1.214062148,1.290503707,1.216201121,1.227534602,1.213729363,1.264706932,1.329689161
71,1.214062148,1.290503707,1.216201121,1.227534602,1.218796472,1.264706932,1.329689161
72,1.22027623,1.290503707,1.216201121,1.227534602,1.218796472,1.264706932,1.329689161
73,1.22027623,1.290503707,1.229121737,1.227534602,1.218796472,1.264706932,1.329689161
74,1.22027623,1.290503707,1.229121737,1.227534602,1.22376321,1.264706932,1.329689161
75,1.226280912,1.290503707,1.229121737,1.227534602,1.22376321,1.264706932,1.329689161
76,1.226280912,1.290503707,1.229121737,1.227534602,1.228576291,1.264706932,1.329689161
77,1.232152389,1.290503707,1.229121737,1.227534602,1.228576291,1.264706932,1.329689161
78,1.232152389,1.290503707,1.229121737,1.232814774,1.228576291,1.264706932,1.329689161
79,1.232152389,1.290503707,1.229121737,1.232814774,1.23331844,1.264706932,1.329689161
80,1.232152389,1.290503707,1.236514451,1.232814774,1.23331844,1.264706932,1.329689161
81,1.237853407,1.290503707,1.236514451,1.232814774,1.23331844,1.264706932,1.329689161
82,1.237853407,1.290503707,1.236514451,1.244705091,1.23331844,1.264706932,1.329689161
83,1.237853407,1.290503707,1.236514451,1.244705091,1.237936996,1.264706932,1.329689161
84,1.237853407,1.290503707,1.243789009,1.244705091,1.237936996,1.264706932,1.329689161
85,1.243365906,1.290503707,1.243789009,1.244705091,1.237936996,1.264706932,1.329689161
86,1.243365906,1.290503707,1.243789009,1.244705091,1.242460474,1.264706932,1.329689161
87,1.243365906,1.290503707,1.243789009,1.244705091,1.246862841,1.264706932,1.329689161
88,1.248772625,1.290503707,1.243789009,1.244705091,1.246862841,1.264706932,1.329689161
89,1.248772625,1.290503707,1.24872627,1.244705091,1.246862841,1.264706932,1.329689161
90,1.248772625,1.290503707,1.24872627,1.255431208,1.246862841,1.264706932,1.329689161
91,1.248772625,1.290503707,1.24872627,1.255431208,1.25342001,1.264706932,1.329689161
92,1.248772625,1.290503707,1.254947831,1.255431208,1.25342001,1.264706932,1.329689161
93,1.253825813,1.290503707,1.254947831,1.255431208,1.25342001,1.264706932,1.329689161
94,1.253825813,1.290503707,1.254947831,1.255431208,1.25925572,1.264706932,1.329689161
95,1.260474823,1.290503707,1.254947831,1.255431208,1.25925572,1.264706932,1.329689161
96,1.260474823,1.290503707,1.260429213,1.255431208,1.25925572,1.264706932,1.329689161
97,1.260474823,1.290503707,1.260429213,1.265811645,1.25925572,1.264706932,1.329689161
98,1.260474823,1.290503707,1.260429213,1.265811645,1.26344904,1.264706932,1.329689161
99,1.260474823,1.290503707,1.266379623,1.265811645,1.26344904,1.264706932,1.329689161
100,1.267269904,1.290503707,1.266379623,1.265811645,1.26344904,1.264706932,1.329689161
101,1.267269904,1.290503707,1.266379623,1.265811645,1.267368717,1.264706932,1.329689161
102,1.267269904,1.290503707,1.266379623,1.265811645,1.267368717,1.290919532,1.329689161
103,1.267269904,1.290503707,1.266379623,1.267383471,1.267368717,1.290919532,1.329689161
104,1.267269904,1.290503707,1.271712308,1.267383471,1.267368717,1.290919532,1.329689161
105,1.271273423,1.290503707,1.271712308,1.267383471,1.267368717,1.290919532,1.329689161
106,1.271273423,1.290503707,1.271712308,1.267383471,1.270180415,1.290919532,1.329689161
107,1.271273423,1.290503707,1.271712308,1.265145832,1.270180415,1.290919532,1.329689161
108,1.271273423,1.290503707,1.271712308,1.274579645,1.270180415,1.290919532,1.329689161
109,1.271273423,1.290503707,1.271712308,1.274579645,1.274092765,1.290919532,1.329689161
110,1.276477856,1.290503707,1.271712308,1.274579645,1.274092765,1.290919532,1.329689161
111,1.276477856,1.290503707,1.276556967,1.274579645,1.274092765,1.290919532,1.329689161
112,1.276477856,1.290503707,1.276556967,1.274579645,1.278122911,1.290919532,1.329689161
113,1.276477856,1.290503707,1.276556967,1.282789589,1.278122911,1.290919532,1.329689161
114,1.281485627,1.290503707,1.276556967,1.282789589,1.278122911,1.290919532,1.329689161
115,1.281485627,1.290503707,1.281280633,1.282789589,1.278122911,1.290919532,1.329689161
116,1.281485627,1.290503707,1.281280633,1.282789589,1.281831665,1.290919532,1.329689161
117,1.281485627,1.290503707,1.285306044,1.282789589,1.281831665,1.290919532,1.329689161
118,1.285201793,1.290503707,1.285306044,1.282789589,1.281831665,1.290919532,1.329689161
119,1.285201793,1.290503707,1.285306044,1.282789589,1.287761971,1.290919532,1.329689161
120,1.285201793,1.290503707,1.285306044,1.294929491,1.287761971,1.290919532,1.329689161
121,1.288550153,1.290503707,1.285306044,1.294929491,1.287761971,1.290919532,1.329689161
122,1.288550153,1.290503707,1.289813599,1.294929491,1.287761971,1.290919532,1.329689161
123,1.288550153,1.290503707,1.289813599,1.294929491,1.292772533,1.290919532,1.329689161
124,1.292800469,1.290503707,1.289813599,1.294929491,1.292772533,1.290919532,1.329689161
125,1.292800469,1.290503707,1.293971684,1.294929491,1.292772533,1.290919532,1.329689161
126,1.292800469,1.378487353,1.293971684,1.294929491,1.292772533,1.290919532,1.329689161
127,1.292800469,1.378487353,1.293971684,1.294929491,1.292772533,1.297668833,1.329689161
128,1.292800469,1.378487353,1.293971684,1.294929491,1.294707242,1.297668833,1.329689161
129,1.297764364,1.378487353,1.293971684,1.294929491,1.294707242,1.297668833,1.329689161
130,1.297764364,1.378487353,1.298019166,1.294929491,1.294707242,1.297668833,1.329689161
131,1.297764364,1.378487353,1.298019166,1.294929491,1.298490038,1.297668833,1.329689161
132,1.297764364,1.378487353,1.298019166,1.30749428,1.298490038,1.297668833,1.329689161
133,1.297764364,1.378487353,1.298019166,1.30749428,1.298490038,1.335184694,1.329689161
134,1.300097974,1.378487353,1.298019166,1.30749428,1.298490038,1.335184694,1.329689161
135,1.300097974,1.378487353,1.306361649,1.30749428,1.298490038,1.335184694,1.329689161
136,1.300097974,1.378487353,1.306361649,1.30749428,1.303464664,1.335184694,1.329689161
137,1.303885973,1.378487353,1.306361649,1.30749428,1.303464664,1.335184694,1.329689161
138,1.303885973,1.378487353,1.306361649,1.30749428,1.308157596,1.335184694,1.329689161
139,1.307706365,1.378487353,1.306361649,1.30749428,1.308157596,1.335184694,1.329689161
140,1.307706365,1.378487353,1.312225769,1.30749428,1.308157596,1.335184694,1.329689161
141,1.307706365,1.378487353,1.312225769,1.315366948,1.308157596,1.335184694,1.329689161
142,1.311484101,1.378487353,1.312225769,1.315366948,1.308157596,1.335184694,1.329689161
143,1.311484101,1.378487353,1.312225769,1.315366948,1.312393901,1.335184694,1.329689161
144,1.315219004,1.378487353,1.312225769,1.315366948,1.312393901,1.335184694,1.329689161
145,1.315219004,1.378487353,1.315671034,1.315366948,1.312393901,1.335184694,1.329689161
146,1.315219004,1.378487353,1.315671034,1.315366948,1.3164446,1.335184694,1.329689161
147,1.31884312,1.378487353,1.315671034,1.315366948,1.3164446,1.335184694,1.329689161
148,1.31884312,1.378487353,1.315671034,1.32198862,1.3164446,1.335184694,1.329689161
149,1.31884312,1.378487353,1.319247955,1.32198862,1.3164446,1.335184694,1.329689161
150,1.31884312,1.378487353,1.319247955,1.32198862,1.320268502,1.335184694,1.329689161
151,1.32238186,1.378487353,1.319247955,1.32198862,1.320268502,1.335184694,1.329689161
152,1.32238186,1.378487353,1.32273994,1.32198862,1.320268502,1.335184694,1.329689161
153,1.32238186,1.378487353,1.32273994,1.32198862,1.324492222,1.335184694,1.329689161
154,1.32238186,1.378487353,1.32273994,1.327989695,1.324492222,1.335184694,1.329689161
155,1.325952524,1.378487353,1.32273994,1.327989695,1.324492222,1.335184694,1.329689161
156,1.325952524,1.378487353,1.325812954,1.327989695,1.324492222,1.335184694,1.329689161
157,1.325952524,1.378487353,1.325812954,1.327989695,1.328862435,1.335184694,1.329689161
158,1.325952524,1.378487353,1.328910305,1.327989695,1.328862435,1.335184694,1.329689161
159,1.329416166,1.378487353,1.328910305,1.327989695,1.328862435,1.335184694,1.329689161
160,1.329416166,1.378487353,1.328910305,1.33378626,1.328862435,1.335184694,1.329689161
161,1.329416166,1.378487353,1.328910305,1.33378626,1.33406987,1.335184694,1.329689161
162,1.329416166,1.378487353,1.331691254,1.33378626,1.33406987,1.335184694,1.329689161
163,1.332855182,1.378487353,1.331691254,1.33378626,1.33406987,1.335184694,1.329689161
164,1.332855182,1.378487353,1.331691254,1.33378626,1.33406987,1.335184694,1.343939152
165,1.332855182,1.378487353,1.33431179,1.33378626,1.33406987,1.335184694,1.343939152
166,1.339467951,1.378487353,1.33431179,1.33378626,1.33406987,1.335184694,1.343939152
167,1.339467951,1.378487353,1.33431179,1.339414576,1.33406987,1.335184694,1.343939152
168,1.339467951,1.378487353,1.33431179,1.339414576,1.339496823,1.335184694,1.343939152
169,1.339467951,1.378487353,1.336854271,1.339414576,1.339496823,1.335184694,1.343939152
170,1.339467951,1.378487353,1.336854271,1.339414576,1.339496823,1.347519347,1.343939152
171,1.339467951,1.378487353,1.342619479,1.339414576,1.339496823,1.347519347,1.343939152
172,1.339467951,1.378487353,1.342619479,1.344560399,1.339496823,1.347519347,1.343939152
173,1.342279778,1.378487353,1.342619479,1.344560399,1.339496823,1.347519347,1.343939152
174,1.342279778,1.378487353,1.342619479,1.344560399,1.345756835,1.347519347,1.343939152
175,1.345591887,1.378487353,1.342619479,1.344560399,1.345756835,1.347519347,1.343939152
176,1.345591887,1.378487353,1.353233144,1.344560399,1.345756835,1.347519347,1.343939152
177,1.345591887,1.378487353,1.353233144,1.344560399,1.345756835,1.347519347,1.358723387
178,1.345591887,1.378487353,1.353233144,1.360500219,1.345756835,1.347519347,1.358723387
179,1.34884443,1.378487353,1.353233144,1.360500219,1.345756835,1.347519347,1.358723387
180,1.34884443,1.378487353,1.353233144,1.360500219,1.351693584,1.347519347,1.358723387
181,1.34884443,1.378487353,1.353233144,1.360500219,1.351693584,1.354157665,1.358723387
182,1.352170024,1.378487353,1.353233144,1.360500219,1.351693584,1.354157665,1.358723387
183,1.352170024,1.378487353,1.353233144,1.360500219,1.357277267,1.354157665,1.358723387
184,1.355298788,1.378487353,1.353233144,1.360500219,1.357277267,1.354157665,1.358723387
185,1.355298788,1.378487353,1.355826255,1.360500219,1.357277267,1.354157665,1.358723387
186,1.355298788,1.378487353,1.355826255,1.360500219,1.357277267,1.361807685,1.358723387
187,1.358338127,1.378487353,1.355826255,1.360500219,1.357277267,1.361807685,1.358723387
188,1.358338127,1.378487353,1.358309959,1.360500219,1.357277267,1.361807685,1.358723387
189,1.358338127,1.378487353,1.358309959,1.360500219,1.367142359,1.361807685,1.358723387
190,1.358338127,1.378487353,1.360525017,1.360500219,1.367142359,1.361807685,1.358723387
191,1.361200008,1.378487353,1.360525017,1.360500219,1.367142359,1.361807685,1.358723387
192,1.361200008,1.378487353,1.360525017,1.360500219,1.367142359,1.361807685,1.369177829
193,1.361200008,1.378487353,1.360525017,1.365544522,1.367142359,1.361807685,1.369177829
194,1.361200008,1.378487353,1.362693878,1.365544522,1.367142359,1.361807685,1.369177829
195,1.363401171,1.378487353,1.362693878,1.365544522,1.367142359,1.361807685,1.369177829
196,1.363401171,1.378487353,1.362693878,1.365544522,1.367142359,1.369388781,1.369177829
197,1.363401171,1.378487353,1.364716637,1.365544522,1.367142359,1.369388781,1.369177829
198,1.366336286,1.378487353,1.364716637,1.365544522,1.367142359,1.369388781,1.369177829
199,1.366336286,1.378487353,1.366730229,1.365544522,1.367142359,1.369388781,1.369177829
200,1.366336286,1.378487353,1.366730229,1.370026196,1.367142359,1.369388781,1.369177829
201,1.369549211,1.378487353,1.366730229,1.370026196,1.367142359,1.369388781,1.369177829
202,1.369549211,1.378487353,1.368559568,1.370026196,1.367142359,1.369388781,1.369177829
203,1.369549211,1.378487353,1.368559568,1.370026196,1.371797581,1.369388781,1.369177829
204,1.369549211,1.378487353,1.370309961,1.370026196,1.371797581,1.369388781,1.369177829
205,1.369549211,1.378487353,1.370309961,1.370026196,1.371797581,1.369388781,1.390628832
206,1.369549211,1.378487353,1.370309961,1.370026196,1.371797581,1.376012083,1.390628832
207,1.372675206,1.378487353,1.370309961,1.370026196,1.371797581,1.376012083,1.390628832
208,1.372675206,1.378487353,1.370309961,1.373991628,1.371797581,1.376012083,1.390628832
209,1.372675206,1.378487353,1.372057007,1.373991628,1.371797581,1.376012083,1.390628832
210,1.372675206,1.378487353,1.372057007,1.373991628,1.375331765,1.376012083,1.390628832
211,1.372675206,1.378487353,1.37326678,1.373991628,1.375331765,1.376012083,1.390628832
212,1.375519026,1.378487353,1.37326678,1.373991628,1.375331765,1.376012083,1.390628832
213,1.375519026,1.378487353,1.374865465,1.373991628,1.375331765,1.376012083,1.390628832
214,1.375519026,1.378487353,1.374865465,1.380151095,1.375331765,1.376012083,1.390628832
215,1.375519026,1.378487353,1.376423514,1.380151095,1.375331765,1.376012083,1.390628832
